,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId,score
40055,40055,40055,40055,False,,0,Documentary,,314570,tt3956754,Portuguese,A Vida Privada dos Hipopótamos,"This is a film about Christopher Kirk, an American IT guy who moves to Colombia after reading about Pablo Escobar’s hippopotamuses. It is also a film about the story of V., a story that Kirk obsessively tells and retells about his infatuation with a mysterious Japanese-columbian woman. A story that may or may not have to do with his arrest in 2009 in Brazil for international drug trafficking. Moreover, it is also a film about two directors.",0.121863,http://img.omdbapi.com/?i=tt3956754&h=600&apikey=f3f2af9c,Primo_Filmes,Brazil,2014-07-04,0.0,91.0,"Português,Español,English",Released,,I Touched All Your Stuff,False,7.0,2.0,2014,,Matias Mariani,woman director,,,,22.028815056182975
40297,40297,40297,40297,False,,0,,,144341,tt0062311,Italian,Straniero... fatti il segno della croce!,"Two brothers, who are the leaders of a gang of outlaws, besiege the village of White City. They rob and terrorize the people of the surrounding countryside which attracts the attention of a bounty hunter who upon arrival becomes involved in their plight. (SWDB)",0.119682,http://img.omdbapi.com/?i=tt0062311&h=600&apikey=f3f2af9c,Mila_Cinematografica,Italy,1968-05-16,0.0,98.0,Italiano,Released,,"Stranger, Say Your Prayers!",False,0.0,0.0,1968,"Bounty Hunter-Charles Southwood,Lucas Carson-Jeff Cameron,Trudy-Cristina Penz,Nick, Donovan henchman-Massimo Righi,Blake Logan / The Cripple-Ettore Manni,Carson Donovan-Calisto Calisti,James Donovan-Mel Gaines,Clark, Donovan henchman-Lino Coletta,Willy, Donovan henchman-Joe D'Amato,Donovan henchman-Fabio Testi,Budd, Donovan henchman-Dino Strano,Miss Sullivan-Simonetta Vitelli",Demofilo Fidani,"bounty hunter,maverick,barroom brawl,sexual assault",,,,22.028815056182975
16690,16690,16690,16690,False,I_Spit_on_Your_Grave_Collection,2000000,"Thriller,Crime,Horror",,43947,tt1242432,English,I Spit on Your Grave,"A remake of the 1979 controversial cult classic, I Spit on Your Grave retells the horrific tale of writer Jennifer Hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally deprived locals led by Johnny, the town's service station owner, his two co-workers, Andy and Stanley, who along with their socially and mentally challenged friend Matthew, set out one night to teach this city girl a lesson.",12.805294,http://img.omdbapi.com/?i=tt1242432&h=600&apikey=f3f2af9c,"Anchor_Bay_Films,Cinetel_Films,Family_of_the_Year_Productions",United_States_of_America,2010-06-17,572809.0,108.0,English,Released,It's Date Night,I Spit on Your Grave,False,6.3,537.0,2010,"Jennifer Hills-Sarah Butler,Stanley-Daniel Franzese,Matthew-Chad Lindberg,John 'Johnny' Miller-Jeff Branson,Andy-Rodney Eastman,Sheriff Storch-Andrew Howard,Earl-Tracey Walter,Mrs. Storch-Mollie Milligan,Chastity Storch-Saxon Sharbino",Steven R. Monroe,"rape,fondling,revenge,writer,strangulation,female writer,garden shears,rape and revenge",,,,22.028815056182975
2380,2380,2380,2380,False,,0,"Drama,Romance",,8129,tt0151691,English,My Name Is Joe,"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods.",1.878973,http://img.omdbapi.com/?i=tt0151691&h=600&apikey=f3f2af9c,"Channel_Four_Films,Arte,Diaphana_Films,The_Glasgow_Film_Fund,Parallax_Pictures,Degeto_Film,Westdeutscher_Rundfunk_(WDR),Tornasol_Films,Alta_Films,La_Sept_Cinéma,Road_Movies_Vierte_Produktionen,Scottish_Arts_Council_Lottery_Fund","Germany,United_Kingdom,Spain,Italy,France",1998-05-15,0.0,105.0,English,Released,,My Name Is Joe,False,7.1,29.0,1998,"Joe-Peter Mullan,Sarah-Louise Goodall,Liam-David McKay,McGowan-David Hayman,Shanks-Gary Lewis,Maggie-Lorraine McIntosh,Mojo-Stephen McCole",Ken Loach,"glasgow,funeral,american football coach,professional soccer player,debt,soccer",8129.0,181810.0,51182.0,22.028815056182975
21374,21374,21374,21374,False,,0,Documentary,,61330,tt1600841,English,Please Remove Your Shoes,"A documentary about the US government's broken promise to keep our airlines secure, and the personal stories of a few people who know the truth - congressmen, air marshals, aviation security employees. It will make you angry and flying in an airplane may never be the same again.",0.165904,http://img.omdbapi.com/?i=tt1600841&h=600&apikey=f3f2af9c,,,2010-07-01,0.0,0.0,,Released,Catching a Flight Will Never Be the Same Again,Please Remove Your Shoes,False,5.8,3.0,2010,,,,,,,22.028815056182975
8236,8236,8236,8236,False,,2700000,Comedy,,55457,tt0077714,English,I Wanna Hold Your Hand,If they missed Beatles' first appearance in the U.S.A. they would hate themselves for the rest of their lives! So six young girls from New Jersey set off even though they don't have tickets for the show! The journey is full of surprises and misfortunes but the young ladies are determined to reach their idols.,2.186882,http://img.omdbapi.com/?i=tt0077714&h=600&apikey=f3f2af9c,Universal_Pictures,United_States_of_America,1978-04-20,0.0,104.0,English,Released,Some girls will do anything to meet their idols.,I Wanna Hold Your Hand,False,6.5,29.0,1978,"Pam Mitchell-Nancy Allen,Tony Smerko-Bobby Di Cicco,Rosie Petrofsky-Wendie Jo Sperber,Grace Corrigan-Theresa Saldana,Larry Dubois-Marc McClure,Richard 'Ringo' Klaus-Eddie Deezen,Janis Goldman-Susan Kendall Newman,Peter Plimpton-Christian Juttner,Ed Sullivan-Will Jordan,Peter's Father-Read Morgan,Al-Claude Earl Jones,Eddie-James Houghton,Neil-James Hewitson,Sergeant Brenner-Dick Miller,CBS Security Guard-Vito Carenzo",Robert Zemeckis,"music,reference to the beatles,friend",,,,22.028815056182975
42859,42859,42859,42859,False,,0,Documentary,http://www.magpictures.com/iamnotyournegro/,411019,tt5804038,English,I Am Not Your Negro,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",11.781919,http://img.omdbapi.com/?i=tt5804038&h=600&apikey=f3f2af9c,"Magnolia_Pictures,Velvet_Film","Belgium,France,United_States_of_America",2017-02-03,0.0,95.0,English,Released,,I Am Not Your Negro,False,8.0,87.0,2017,"Narrator (voice)-Samuel L. Jackson,Himself (archive footage)-James Baldwin,Himself (archive footage)-Malcolm X,Himself (archive footage)-Martin Luther King,Himself (archive footage)-Medgar Evers,Himself (archive footage)-Ray Charles,Himself (archive footage)-Harry Belafonte,Herself-Shumerria Harris,Herself-Cathy Salvodon",Raoul Peck,"race politics,martin luther king,documentary,racism,african american,interviews,james baldwin,malcom x",,,,22.028815056182975
27475,27475,27475,27475,False,,0,"Action,Comedy",,77118,tt0353545,English,I Accidentally Domed Your Son,"This offbeat dark comedy take place when four friends have a backyard bar-b-q and decide to come up on some bud. Not knowing where to turn, because the streets have been dry for a few months, they end up scoring from the son of a over protective mob figure by the name of Fredrico, who vows, if anything should happen to his son, their will be hell to pay. After a tragic accident, the four friends are on the run with only one person to turn to, Krego, Brisco's long time friend. Krego confirms to them, Fredrico is a very powerful man, and there is no escaping his fury. Their only option is to change their appearance through underground plastic surgery, which would take them on a five hundred mile road trip. Along the way, they will have to avoid Fredrico's beautiful assassin, Venus, and other unsavory characters, leaving them to ponder the question, was it just dumb luck, or was it the bud?",0.039597,http://img.omdbapi.com/?i=tt0353545&h=600&apikey=f3f2af9c,,,2004-01-01,0.0,0.0,,Released,,I Accidentally Domed Your Son,False,7.0,1.0,2004,,,,,,,22.028815056182975
11121,11121,11121,11121,False,,0,Documentary,http://www.leonardcohenimyourman.com,57406,tt0478197,English,Leonard Cohen: I'm Your Man,"Poet, singer / songwriter and ladies man Leonard Cohen is interviewed in his home about his life and times. The interview is interspersed with archive photos and exuberant praise and live perfomances from an eclectic mix of musicians, including: Jarvis Cocker, Rufus &amp; Martha Wainwright, Teddy Thompson, Antony Hegarty, The Handsome Family and U2's Bono and The Edge.",0.322965,http://img.omdbapi.com/?i=tt0478197&h=600&apikey=f3f2af9c,"Lionsgate,Sundance_Channel,Horse_Pictures,Con_Artists_Productions",United_States_of_America,2006-09-11,0.0,98.0,English,Released,"A documentary on the legendary singer-songwriter, with performances by those musicians he has influenced.",Leonard Cohen: I'm Your Man,False,6.4,7.0,2006,"Himself-Leonard Cohen,Herself-Martha Wainwright,Himself-Rufus Wainwright,Herself-Beth Orton,Himself-Jarvis Cocker,Himself-Bono,Himself-The Edge,Himself-Nick Cave",Lian Lunson,woman director,,,,22.028815056182975
43983,43983,43983,43983,False,,0,"TV_Movie,Drama,Romance",http://www.hallmarkchannel.com/lead-with-your-heart,352845,tt4882698,English,Lead with Your Heart,"Ben and Maura have been married for years, and they are in a rut…so much of a rut that they are contemplating if it would be better to live separate lives. That’s when their two teenage children step in and scheme to try to get them back together and make them realize how much they still need each other.",0.197249,http://img.omdbapi.com/?i=tt4882698&h=600&apikey=f3f2af9c,LWH77_Productions,United_States_of_America,2015-09-19,0.0,84.0,"English,Italiano",Released,,Lead with Your Heart,False,3.0,2.0,2015,"Ben-William Baldwin,Maura-Kari Matchett,Doug-Tony Nappo,Adam Walker-Steven Love",Bradley Walsh,,,,,22.028815056182975
36530,36530,36530,36530,False,,0,"Comedy,Drama,Romance",,53766,tt0011865,English,Why Change Your Wife?,"Robert and Beth Bordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",0.193764,http://img.omdbapi.com/?i=tt0011865&h=600&apikey=f3f2af9c,Famous_Players-Lasky_Corporation,United_States_of_America,1920-05-21,0.0,90.0,,Released,,Why Change Your Wife?,False,7.5,2.0,1920,"Beth Gordon-Gloria Swanson,Robert Gordon-Thomas Meighan,Sally Clark-Bebe Daniels,Radinioff-Theodore Kosloff,Aunt Kate-Sylvia Ashton,The Doctor-Clarence Geldart,Harriette - the Couturière-Mayme Kelso,Gordon's Butler-Lucien Littlefield,Gordon's Maid-Edna Mae Cooper",Cecil B. DeMille,,53766.0,414931.0,12543.0,22.028815056182975
8508,8508,8508,8508,False,,3768785,"Action,Comedy,Music,Romance,Western",,25209,tt0042200,English,Annie Get Your Gun,"This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business.""",2.090588,http://img.omdbapi.com/?i=tt0042200&h=600&apikey=f3f2af9c,Metro-Goldwyn-Mayer_(MGM),United_States_of_America,1950-05-17,8000000.0,107.0,English,Released,,Annie Get Your Gun,False,7.3,22.0,1950,"Annie Oakley-Betty Hutton,Frank Butler-Howard Keel,Col. Buffalo Bill Cody-Louis Calhern,Chief Sitting Bull-J. Carrol Naish,Pawnee Bill-Edward Arnold,Charlie Davenport-Keenan Wynn",George Sidney,"musical,annie oakley,sharpshooter",,,,22.028815056182975
35429,35429,35429,35429,False,,0,Western,,150677,tt0067354,Italian,Lo chiamavano King,"The Benson brothers, who are smuggling guns across the Mexican border, kill King's brother and rape his wife. King must stop their illegal activities, find who is behind them and gain revenge for his family.",0.429005,http://img.omdbapi.com/?i=tt0067354&h=600&apikey=f3f2af9c,Foro_Film,Italy,1971-05-18,0.0,96.0,Italiano,Released,,His Name was King,False,6.3,4.0,1971,"John 'King' Marley-Richard Harrison,Brian Foster-Klaus Kinski,Carol-Anne Puskin,Ben Benson-Goffredo Unger,Benson brother-Lorenzo Fineschi,-Lucio Zarini,Major Ericson-Tom Felleghy",Giancarlo Romitelli,"gunfight,smugglers",,,,22.028815056182975
43765,43765,43765,43765,False,,0,Comedy,,379008,tt5369246,English,Whitney Cummings: I'm Your Girlfriend,The comedian and actor dishes up an hour of audacious adult humor taped in front of a live audience at The Broad Stage in Santa Monica.,0.140222,http://img.omdbapi.com/?i=tt5369246&h=600&apikey=f3f2af9c,Home_Box_Office_(HBO),United_States_of_America,2016-01-23,0.0,60.0,English,Released,,Whitney Cummings: I'm Your Girlfriend,False,6.0,3.0,2016,Herself-Whitney Cummings,Marty Callner,stand-up comedy,,,,22.028815056182975
8721,8721,8721,8721,False,,0,"Action,Comedy,Western",,18287,tt0067809,English,Support Your Local Gunfighter,A con artist arrives in a mining town controlled by two competing companies. Both companies think he's a famous gunfighter and try to hire him to drive the other out of town.,2.412247,http://img.omdbapi.com/?i=tt0067809&h=600&apikey=f3f2af9c,,United_States_of_America,1971-05-26,0.0,91.0,English,Released,,Support Your Local Gunfighter,False,6.6,21.0,1971,"Latigo-James Garner,Patience-Suzanne Pleshette,Jug May-Jack Elam,Taylor-Harry Morgan,Jenny-Joan Blondell,Goldie-Marie Windsor,Colonel Ames-John Dehner,Ez-Henry Jones,Doc Schultz-Dub Taylor,Mrs. Perkins-Kathleen Freeman",Burt Kennedy,,,,,22.028815056182975
8745,8745,8745,8745,False,Nobody_Collection,0,"Comedy,Western",,9474,tt0070215,Italian,Il mio nome è Nessuno,"Jack Beauregard, one of the greatest gunman of the Old West, only wants to retire in peace and move to Europe. But a young gunfighter, known as ""Nobody"", who idolizes Beauregard, wants him to go out in glory. So he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.",6.022453,http://img.omdbapi.com/?i=tt0070215&h=600&apikey=f3f2af9c,"Rafran_Cinematografica,Les_Films_Jacques_Leitienne,Rialto_Film_Preben-Philipsen,Alcinter",Italy,1973-12-13,0.0,117.0,Italiano,Released,"Nobody, but ""Nobody,"" knows the trouble he's in!",My Name Is Nobody,False,7.1,227.0,1973,"Nobody-Terence Hill,Jack Beauregard-Henry Fonda,Sullivan-Jean Martin,Honest John-R. G. Armstrong,Jim-Karl Braun,Red-Leo Gordon,False barber-Steve Kanaly,Leader of the Wild Bunch-Geoffrey Lewis,Squirrel-Neil Summers,Sheriff-Piero Lulli,Pedro-Mario Brega,Don John-Marc Mazza,Porteley-Benito Stefanelli,Rex-Alexander Allerson,Big Gun-Rainer Peets,New Orleans street photographer-Maurice Kowalewski",Tonino Valerii,"hero,spaghetti western",,,,22.028815056182975
37663,37663,37663,37663,False,,0,"Adventure,Romance",http://padnajouhartfilm.co.za,273598,tt2988490,Afrikaans,Pad Na Jou Hart,"Basson has five days to make it to his father's funeral in Cape Town, but needs to complete certain tasks on this trip before he can call the family company his own. On the road he meets free-spirited bohemian girl, Amory. As they journey across the breathtaking landscape of South Africa, they meet wonderful characters that allow for hilarious moments and life-changing experiences. Their trip takes a sudden turn for the worst when a villainous figure makes an appearance. Basson and Amory are faced with disappointment and heartache. On the road called life, it is inevitable that you will take some wrong turns. But no matter how hard the road might be, on route to true love is where you will find your true north.",0.501787,http://img.omdbapi.com/?i=tt2988490&h=600&apikey=f3f2af9c,The_Film_Factory,South_Africa,2014-02-14,0.0,112.0,Afrikaans,Released,True love is where you will find your true north,Road to Your Heart,False,5.5,6.0,2014,"Basson Jnr-Ivan Botha,Amory-Donnalee Roberts,Basie van Rensburg-Wim Beukes,Basson Snr-Marius Weyers,Janis-Jaco Muller,Oupa Jan-Johan Botha,Pietie-Solomon Cupido,Dawn-Marcel Van Heerden,Thomas Ndlovu-Boikie Pholo,Hendrik van Rensburg-Francois Jacobs",Jaco Smit,love,,,,22.028815056182975
32890,32890,32890,32890,False,,6000000,"Drama,Music,Romance",,301351,tt3787590,English,We Are Your Friends,"Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",9.023686,http://img.omdbapi.com/?i=tt3787590&h=600&apikey=f3f2af9c,Working_Title_Films,"United_Kingdom,United_States_of_America,France",2015-08-26,11122090.0,96.0,"English,Italiano",Released,The world is yours.,We Are Your Friends,False,6.3,673.0,2015,"Cole-Zac Efron,Sophie-Emily Ratajkowski,James-Wes Bentley,Himself-Nick Rotteveel,Himself-Alessandro Lindblad,Nicky-Jon Abrahams,Ollie-Shiloh Fernandez,Paige Morrell-Jon Bernthal,Mel-Vanessa Lengies,Courtney-Miranda Rae Mayo,Valley Hater-Rob Silverman,Party Guest (uncredited)-Nev Schulman,Francine-Molly Hagan,Mason-Jonny Weston,Squirrel-Alex Shaffer,Mrs. Romero-Alicia Coppola,Carl-Wiley M. Pickett,Sara-Brittany Furlan,Clarissa-Rebecca Forsythe,Joey-Joey Rudman,Rebecca-Kelsey Formost,Mindy-Scarlett Benchley,Heather-Devon Barnes,Preppy Guy-Timothy Granaderos,Preppy Guy-Raleigh Adams,Rabbi-Kerry Stein,Rich Girl-Ayden Mayeri,King Bach-Andrew Bachelor,Devin Andrews-Dillon Francis",Max Joseph,dj,,,,22.028815056182975
46488,46488,46488,46488,False,,0,Drama,,112531,tt2004270,Polish,Ki – nie polubisz jej,"Ki is a young woman who no longer wants to live with the father of her child. She moves into a house in which lives Miko, a serious man who does not care for distractions. The responsibility of raising a child on her own comes up against the need to work and the wish to live a carefree life.",0.690042,http://img.omdbapi.com/?i=tt2004270&h=600&apikey=f3f2af9c,"The_Film_Factory,Polish_Film_Institute",Poland,2011-09-30,0.0,94.0,"العربية,Polski",Released,,My Name Is Ki,False,6.3,3.0,2011,"Mikolaj 'Miko'-Adam Woronowicz,Piotrus 'Pio'-Kamil Malecki,Antoni 'Anto' Miszczak-Krzysztof Ogloza,Dorota 'Dor'-Sylwia Juszczak,Goska 'Go'-Agnieszka Suchora,Kinga 'Ki'-Roma Gąsiorowska",Leszek Dawid,,,,,22.028815056182975
7622,7622,7622,7622,False,,0,"Comedy,Western",,11574,tt0065051,English,Support Your Local Sheriff,"A quick-witted drifter wanders into a lawless town in the midst of a gold rush. Shocked by the prices of food and meals he reluctantly takes the job of sheriff by amazing the Mayor with his lightning quick, dead eye pistol accuracy. He makes the town council know that he is really just passing through on his way to Australia and he will pull up and leave anytime he chooses (including at the first sign of real trouble). His first day on the job he takes on the biggest, meanest ranching family and meets his klutzy love interest.",2.167511,http://img.omdbapi.com/?i=tt0065051&h=600&apikey=f3f2af9c,"Cherokee_Productions,Three_Pictures",United_States_of_America,1969-03-26,0.0,92.0,English,Released,Bad Men... Bad Ladies... Bad Horses... OUt trouble-shooting sheriff always put his finger on it (or in it). No wonder they call him the FASTEST FINGER IN THE WEST,Support Your Local Sheriff,False,6.7,41.0,1969,"Jason McCullough-James Garner,Prudy Perkins-Joan Hackett,Pa Danby-Walter Brennan,Olly Perkins-Harry Morgan,Jake-Jack Elam,Henry Jackson-Henry Jones,Joe Danby-Bruce Dern,Thomas Devery-Willis Bouchey,Tom Danby-Gene Evans,Fred Johnson-Walter Burke,Luke Danby-Dick Peabody,Brady-Chubby Johnson,Mrs. Danvers-Kathleen Freeman,Bartender-Dick Haynes,(uncredited)-Richard Alden,Brawler at Emma's (uncredited)-Roydon Clark,Brawler at Emma's (uncredited)-Bill Catching,Accordionist at Funeral (uncredited)-Danny Borzage,Man at Kate's Eatery (uncredited)-Robert Anderson,Gunman in Saloon (uncredited)-Gene Coogan,Brawler at Emma's (uncredited)-John Daheim,Townsman (uncredited)-Duke Fishman,Gunfighter Hired by Danby (uncredited)-Richard Hoyt,Bordello Girl at Madame Orr's House (uncredited)-Marilyn Jones,Danby Family Member (uncredited)-Jack Lilley",Burt Kennedy,"deputy sheriff,mayor,australia,western town,bar shootout",,,,22.028815056182975
37667,37667,37667,37667,False,,0,Comedy,,217172,tt0038091,English,Sing Your Way Home,"In this musical comedy, an arrogant war journalist is sailing back to the Big Apple after the end of WW II. En route, he has been assigned to watch over a band of teenagers who were trapped in Europe four years ago while entertaining the troops. Their entrapment has done nothing to dim their enthusiasm for performing and while waiting for passage the crews entertain everyone at every opportunity. Songs include: ""I'll Buy That Dream"" (sung by Anne Jeffreys), ""Heaven Is a Place Called Home,"" ""Seven O'Clock in the Morning (Waking up Boogie),"" ""Somebody Stole My Poor Little Heart"" (Herb Magidson, Allie Wrubel), and ""The Lord's Prayer"" (arranged by Albert Hay Malotte).",0.518113,http://img.omdbapi.com/?i=tt0038091&h=600&apikey=f3f2af9c,RKO_Radio_Pictures,United_States_of_America,1945-11-14,0.0,72.0,,Released,,Sing Your Way Home,False,0.0,0.0,1945,"Steve Kimball-Jack Haley,Bridget Forrester-Marcy McGuire,Kay Lawrence-Anne Jeffreys,Jimmy McCue-Glen Vernon,Ship's captain-Emory Parnell,Jailer-Edward Gargan,Terry-Donna Lee,Dottie-Patti Brill",Anthony Mann,musical,,,,22.028815056182975
30521,30521,30521,30521,False,,0,"Documentary,Music",,37203,tt1185405,English,Throw Down Your Heart,"A film crew follows the well-known banjo player Bela Fleck on his travels to Africa, where he learns about the instrument's origins.",0.040008,http://img.omdbapi.com/?i=tt1185405&h=600&apikey=f3f2af9c,,,2009-03-30,0.0,97.0,,Released,,Throw Down Your Heart,False,6.0,1.0,2009,Himself-Béla Fleck,,,,,,22.028815056182975
10731,10731,10731,10731,False,,0,Comedy,,63395,tt0041831,English,A Run for Your Money,"Two Welsh coal-mining brothers win a trip to London to claim a monetary prize. They are supposed to meet a newspaper reporter who will be their escort. Instead, the brothers are launched into an adventure with some London riff-raff. It is up to the reporter to look out for the brothers, and what a job it turns out to be!",0.306905,http://img.omdbapi.com/?i=tt0041831&h=600&apikey=f3f2af9c,Ealing_Studios,United_Kingdom,1949-11-23,0.0,85.0,English,Released,,A Run for Your Money,False,7.0,1.0,1949,"David ""Dai Number 9"" Jones-Donald Houston,Thomas 'Twm' Jones-Meredith Edwards,Jo-Moira Lister,Whimple-Alec Guinness,Huw Price-Hugh Griffith",Charles Frend,,,,,22.028815056182975
28688,28688,28688,28688,False,Hamilton_Collection,0,,,31292,tt0098544,English,Täcknamn Coq Rouge,"Han heter Carl Hamilton. Han är specialutbildad av CIA. Säpo vill inte ha honom, men måste ta honom ändå när terrorister baserade i Sverige hotar att sätta sina mordiska planer i verket. När alla utvägar är prövade och stängda - då kallar man in Carl Hamilton.",0.553682,http://img.omdbapi.com/?i=tt0098544&h=600&apikey=f3f2af9c,"Sandrews,Svenska_Filminstitutet,Sveriges_Television_(SVT),Spice_Film,Sonet_Film_AB","Morocco,Sweden",1989-08-25,0.0,87.0,"Deutsch,Français,svenska,English",Released,,Code Name Coq Rouge,False,5.8,5.0,1989,"Carl Hamilton-Stellan Skarsgård,Näslund-Lennart Hjulström,Fristedt-Krister Henriksson,Appeltoft-Philip Zandén,Den gamle-Bengt Eklund,Ponti-Lars Green,Folkesson-Roland Hedlund,Fatumeh-Anette Kischinowsky,Meyer-Nick Burnell,Johansson-Harald Hamrell,Shulamit Hanegbi-Tove Granditsky,Eva Hamilton-Lena T. Hansson,Erik Hamilton-Gustaf Skarsgård,Al-Houl-Tuncel Kurtiz,Ljungdahl-Lars ""Tjadden"" Hällström",Per Berglund,"suspense,espionage",,,,22.028815056182975
30025,30025,30025,30025,False,,0,Drama,,9646,tt0060529,Swedish,Här har du ditt liv,A working-class boy struggles to find himself through a series of jobs and romances.,0.762877,http://img.omdbapi.com/?i=tt0060529&h=600&apikey=f3f2af9c,Svensk_Filmindustri_(SF),Sweden,1966-12-26,0.0,169.0,svenska,Released,,Here Is Your Life,False,6.7,6.0,1966,"Olof Persson-Eddie Axberg,Olof's Stepmother-Gudrun Brost,Olof's Mother-Ulla Akselson,Older brother-Bo Wahlström,Rick Axberg-Rick Axberg,Smålands-Pelle-Max von Sydow,August-Allan Edwall,-Åke Fridell,-Bengt Ekerot,-Per Oscarsson,Lundgren-Gunnar Björnstrand",Jan Troell,"sweden,socialism,foster parents,nudity,woodcutter,trade union",,,,22.028815056182975
37872,37872,37872,37872,False,,0,Documentary,,33297,tt1031928,English,Elle s'appelle Sabine,"A sensitive portrait of Sabine Bonnaire, the autistic sister of the french actress Sandrine Bonnaire.",0.507087,http://img.omdbapi.com/?i=tt1031928&h=600&apikey=f3f2af9c,Les_Films_du_Paradoxe,France,2008-01-29,0.0,85.0,Français,Released,,Her Name Is Sabine,False,3.8,5.0,2008,Herself-Sandrine Bonnaire,Sandrine Bonnaire,woman director,,,,22.028815056182975
29131,29131,29131,29131,False,,0,Comedy,,81086,tt0429080,German,Sex Up - ich könnt' schon wieder,"Ziege, Häschen and Max have now moved to Berlin for studying. They ain't got no money till the mystic plant reappears. Soon they have enough money for champagne, a penthouse and a nice car. But everyone's got private problems. Häschens girlfriend Valerie is in Sevilla, Max is too shy to go into Berlin's gay-clubs and Ziege is in love with the girlfriend of a manager of a big company. But being very boyish they don't just sell the SexUp pills, but also use them for themselves. Of course the old problems reappear.",0.428519,http://img.omdbapi.com/?i=tt0429080&h=600&apikey=f3f2af9c,,,2005-03-24,0.0,91.0,Deutsch,Released,,Sex Up Your Life!,False,6.4,4.0,2005,"Anton 'Ziege' Ziegler-André Kaminski,Adam 'Häschen' Hoppeczynski-Jacob Matschenz,Max Spackmann-Jonas Jägermeyr,Natascha-Susan Hoecke,Hubertus-Thorsten Feller,Dicker Pförtner-Florian Gärtner,Valerie-Zoe Weiland,Ines-Mareike Lindenmeyer,Gabi-Sabine Kaack,Klaus-Marcus Kaloff,Juan-David Montero,Frau Pakowski-Eva Weißenborn",Florian Gärtner,,,,,22.028815056182975
11554,11554,11554,11554,False,,20000000,"Action,Comedy,Crime",,14396,tt0462229,English,Code Name: The Cleaner,"Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent.",11.107148,http://img.omdbapi.com/?i=tt0462229&h=600&apikey=f3f2af9c,New_Line_Cinema,United_States_of_America,2007-01-05,10337477.0,84.0,English,Released,,Code Name: The Cleaner,False,4.7,78.0,2007,"Jake Rodgers-Cedric the Entertainer,Gina-Lucy Liu,Diane-Nicollette Sheridan,Eric Hauck-Mark Dacascos,Shaw-Callum Keith Rennie,Jacuzzi-Niecy Nash,Ronnie-DeRay Davis,Doctor Soames-Kevin McNulty,Charlie-Bart Anderson,Crane-Tom Butler,The Butler-Robert Clarke,Mini Bar Attendant-Rick Tae,Dutch Dancer-Michael Boston",Les Mayfield,,,,,22.028815056182975
5902,5902,5902,5902,False,,0,Comedy,,44233,tt0245341,English,P.S. Your Cat Is Dead!,"With his life already in shambles -- his girlfriend just dumped him, he's lost his acting gig, and his cat is seriously ill -- sad-sack Jimmy Zoole (Steve Guttenberg) comes home New Year's Eve to find a gay burglar (Lombardo Boyar) looting his apartment. Taking the intruder hostage, Jimmy threatens to unleash his pent-up rage on the would-be thief but instead begins to bond with his captive.",0.296765,http://img.omdbapi.com/?i=tt0245341&h=600&apikey=f3f2af9c,mr._kirby_productions,United_States_of_America,2002-01-01,0.0,92.0,English,Rumored,,P.S. Your Cat Is Dead!,False,4.2,3.0,2002,"Jimmy Zoole-Steve Guttenberg,Eddie Tesoro-Lombardo Boyar,Aunt Claire-Shirley Knight,Carmine-A. J. Benza,Kate-Cynthia Watros,Stewart Thomas-Kenneth Moskow,Fred Gable-Tom Wright",Steve Guttenberg,independent film,,,,22.028815056182975
